id,name,nickname,abbrev,conference_name,conference_id,division_id,url
92,Iona,Gaels,IONA,OTHER,1,NULL,none
93,Iowa,Hawkeyes,IOWA,BIG10,4,None,www.hawkeyesports.com
94,Iowa State,Cyclones,IWST,BIG12,5,North,www.cyclones.com
95,Jackson State,Tigers,JACK,SWEST,25,NULL,none
96,Jacksonville,Dolphins,JAX,PIONF,21,NULL,none
97,Jacksonville St,Gamecocks,JAXST,OVC,19,None,www.jsugamecocksports.com
98,James Madison,Madisons,JMAD,COL,11,None,www.jamesmadison.edu
99,Kansas,Jayhawks,KAN,BIG12,5,North,www.kuathletics.com
100,Kent State,Golden Flashes,KENT,MAC,14,East,www.kentstatesports.com
101,Kansas State,Wildcats,KNST,BIG12,5,North,www.kstatesports.com
102,Kentucky,Wildcats,KTKY,SEC,6,East,www.ukathletics.com
103,Lafayette,Leopards,LAF,PATRT,19,NULL,none
104,La-Lafayette,Cajuns,LALF,SUNB,24,None,www.ragincajuns.com
105,La-Monroe,Warhawks,LAMO,SUNB,24,None,www.ulmathletics.com
106,Lousiana Tech,Bulldogs,LATC,MWC,17,None,www.latechsports.com
107,Lehigh,Mountain Hawks,LEHGH,PATRT,19,NULL,none
108,Liberty,Flames,LIB,BIGSO,10,None,none
109,Louisville,Cardinals,LOU,AAC,2,None,www.uoflsports.com
110,LSU,Tigers,LSU,SEC,6,West,www.lsusports.net
111,Maine,Black Bears,MAINE,COL,11,None,http://www.goblackbears.com/
112,Marist,Red Foxes,MARST,OTHER,1,NULL,none
113,Massachusettes,Minutemen,MASS,COL,11,None,www.google.com
114,McNeese State,Cowboys,MCNS,STHLN,23,None,www.mcneesesports.com
115,Mid Tenn,Raiders,MDTN,SUNB,24,None,www.goblueraiders.com
116,Memphis,Tigers,MEM,CUSA,12,East,www.gotigersgo.com
117,Morgan State,Bears,MGST,MDEAS,15,None,www.morganstatebears.com
118,Miami (FL),Hurricanes,MIA,ACC,3,Coastal,www.hurricanesports.com
119,Michigan,Wolverines,MICH,BIG10,4,None,www.mgoblue.com
120,Minnesota,Gophers,MINN,BIG10,4,None,www.gophersports.com
121,Miami (OH),RedHawks,MIOH,MAC,14,East,www.muredhawks.com
122,Ole Miss,Rebels,MISS,SEC,6,West,www.olemisssports.com
123,Michigan St,Spartans,MIST,BIG10,4,None,www.msuspartans.com
124,Missouri,Tigers,MO,BIG12,5,North,mutigers.cstv.com
125,Monmouth,Hawks,MONMT,NEC,18,NULL,none
126,Montana St,Bobcats,MONST,BIGSK,9,None,none
127,Montana,Grizzlies,MONT,BIGSK,9,None,none
128,Missouri St,Bears,MOST,MVC,16,None,none
129,Marshall,Herd,MRSH,CUSA,12,East,www.herdzone.com
130,Morehead State,Eagles,MRST,PIONF,21,None,www.msueagles.com
131,Miss State,Bulldogs,MSU,SEC,6,West,www.mstateathletics.com
132,Murray State,Racers,MURST,OVC,19,None,www.goracers.com
133,Miss. Valley St.,Delta Devils,MVSU,SWEST,25,NULL,none
134,Maryland,Terrapins,MYLD,ACC,3,Atlantic,www.umterps.com
135,Navy,Midshipmen,NAVY,IND,8,None,www.navysports.com
136,North Carolina A&T,Aggies,NCAT,MDEAS,15,None,www.ncataggies.com
137,North Carolina Central,Humans,NCCEN,OTHER,1,None,www.google.com
138,Northern Colorado,Bears,NCOL,BIGSK,9,None,www.google.com
139,NC State,Wolfpack,NCST,ACC,3,Atlantic,www.gopack.com
140,Notre Dame,Irish,ND,IND,8,None,www.und.com
141,North Dakota,Bisons,NDAK,GWC,1,None,none
142,North Dakota State,Bison,NDKST,MVC,16,None,www.nmnathletics.com
143,Northeastern,Huskies,NEAST,COL,11,None,www.gonu.com
